evid,time_delay,corr_coef,angle_2d,Pp_2d,Ps_3d,Inclination_3d,angle_3d,Pp_3d
123294,0.02,0.88,234.0,0.7905307625188214,0.8617610296206606,15.914543278997941,233.4,0.9696013885665322
123309,0.23,-0.73,355.0,0.8229644370868643,0.9022062640406617,-59.8188010620111,355.6,0.2960043085327536
123319,0.14,0.88,212.7,0.9711447560544445,0.932296765866696,11.347261666370095,212.7,0.860424632983211
123321,0.265,0.89,226.0,0.8363436647287791,0.8681363752682607,10.411337439723454,226.3,0.9412042958627701
123323,0.035,0.91,309.9,0.8600543701152692,0.9230944963116239,-14.827365125588356,309.9,0.8750872139246232
123325,0.055,-0.84,186.5,0.8529869037054291,0.883426200213426,-5.6653616522423205,186.4,0.8192981499417473
123332,0.215,-0.54,214.7,0.9321702336421215,0.9329434130915282,4.082945074125669,214.7,0.7935237698977962
123339,0.28,-0.83,247.8,0.9424243104061992,0.8957650792100879,-8.973829199401827,247.8,0.9154100549167932
123343,0.13,-0.81,314.8,0.7989074307818178,0.8935431608552877,11.325150182872669,314.7,0.9825859235934373
123344,0.17500000000000002,0.85,339.1,0.7917267684892182,0.8918774945894579,23.258130245322196,339.4,0.9149097547707418
123356,0.065,0.93,309.4,0.987114203100414,0.9781935416516591,-64.96369752780829,309.4,0.877950651350308
123358,0.08,0.87,224.3,0.9303391207847087,0.9646800132129365,32.11719395254728,224.3,0.857451193424237
123370,0.01,0.65,199.2,0.9770409911715395,0.9786589646427768,34.17133565094808,199.2,0.8591224248285477
123375,0.21,0.82,325.0,0.9806148803549138,0.9844650104571844,-17.20731556163843,324.9,0.8600643248395611
123393,0.24,-0.99,265.7,0.9615904374463173,0.9744771623817601,3.65213655706618,265.7,0.707677403445236
123394,0.225,0.93,307.7,0.9572609563856068,0.9735682143919837,-14.7442978096462,307.7,0.7696796173581316
123399,0.05,0.94,286.3,0.9207636620183027,0.9305346557484424,-26.839184900282596,286.2,0.4913228860738571
123400,0.215,0.88,281.2,0.8704633305298848,0.8350907838816153,3.3904008927727354,281.1,0.9301785669795704
123403,0.105,0.99,231.9,0.9445105109489238,0.9348061167828836,14.436534309946593,231.8,0.8339564789680501
123413,0.015,-0.96,241.0,0.9367574121664691,0.8617328540594997,-5.369042600691262,241.1,0.9535356382967768
123414,0.05,-0.85,230.4,0.9471112294743436,0.9097604761712332,8.783077984566988,230.4,0.9476876969842547
123415,0.04,-0.86,232.6,0.9207421554146445,0.8797148736864657,-0.8494280680569319,232.6,0.9445248109640995
123423,0.165,0.99,244.8,0.931205259829924,0.955674206023912,28.50297937771908,244.8,0.561690321745231
