evid,starttime,endtime,station,lon,lat,day_of_year
121906,2018-01-14T17:52:57.070000Z,2018-01-14T17:56:57.070000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",34.9812,33.5426,14
121907,2018-01-15T09:15:19.730000Z,2018-01-15T09:19:19.730000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.6163,33.1112,15
121908,2018-01-15T11:12:41.830000Z,2018-01-15T11:16:41.830000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.0266,29.9157,15
121909,2018-01-16T16:55:17.330000Z,2018-01-16T16:59:17.330000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.6644,32.9988,16
121910,2018-01-17T00:07:02.900000Z,2018-01-17T00:11:02.900000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.6508,32.8347,17
121911,2018-01-17T14:38:23.810000Z,2018-01-17T14:42:23.810000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",31.957,29.4228,17
121912,2018-01-17T17:39:10.740000Z,2018-01-17T17:43:10.740000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",34.9852,34.0716,17
121913,2018-01-18T04:11:31.100000Z,2018-01-18T04:15:31.100000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.5714,32.9384,18
121914,2018-01-18T16:18:09.610000Z,2018-01-18T16:22:09.610000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.0744,29.7328,18
121915,2018-01-18T20:45:24.710000Z,2018-01-18T20:49:24.710000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",32.5911,34.8048,18
121916,2018-01-20T15:58:17.120000Z,2018-01-20T16:02:17.120000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.4071,32.0748,20
121917,2018-01-21T14:11:26.730000Z,2018-01-21T14:15:26.730000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",33.1536,34.2951,21
121918,2018-01-21T14:34:34.740000Z,2018-01-21T14:38:34.740000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",33.081,34.3038,21
121919,2018-01-21T23:15:32.480000Z,2018-01-21T23:19:32.480000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.3285,31.4043,21
121920,2018-01-23T16:18:05.010000Z,2018-01-23T16:22:05.010000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.3469,30.5485,23
121921,2018-01-24T15:45:38.420000Z,2018-01-24T15:49:38.420000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",34.4228,34.0838,24
121922,2018-01-25T08:26:39.630000Z,2018-01-25T08:30:39.630000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.8379,33.3802,25
121923,2018-01-25T19:56:40.020000Z,2018-01-25T20:00:40.020000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.6775,32.91,25
121924,2018-01-26T08:10:09.920000Z,2018-01-26T08:14:09.920000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.0842,30.5438,26
121925,2018-01-26T22:42:02.930000Z,2018-01-26T22:46:02.930000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.1733,29.9817,26
121926,2018-01-27T13:06:30.920000Z,2018-01-27T13:10:30.920000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",33.8461,34.5767,27
121927,2018-01-27T15:17:29.100000Z,2018-01-27T15:21:29.100000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",32.7906,34.6973,27
121928,2018-01-27T15:42:59.520000Z,2018-01-27T15:46:59.520000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.6003,33.0751,27
121929,2018-01-28T13:39:50.130000Z,2018-01-28T13:43:50.130000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.7629,33.4598,28
121930,2018-01-29T17:19:45.870000Z,2018-01-29T17:23:45.870000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.4065,32.8403,29
121931,2018-01-30T01:35:36.490000Z,2018-01-30T01:39:36.490000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",32.5305,33.7685,30
121932,2018-01-30T16:18:16.920000Z,2018-01-30T16:22:16.920000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.7287,33.5468,30
121933,2018-01-30T22:12:04.740000Z,2018-01-30T22:16:04.740000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.5413,32.8055,30
121934,2018-01-31T15:40:37.070000Z,2018-01-31T15:44:37.070000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.1833,32.6047,31
121935,2018-02-01T17:18:58.510000Z,2018-02-01T17:22:58.510000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.4049,30.9518,32
121936,2018-02-01T19:44:58.240000Z,2018-02-01T19:48:58.240000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.2957,30.7701,32
121937,2018-02-02T23:02:02.610000Z,2018-02-02T23:06:02.610000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.6232,33.07,33
121938,2018-02-04T06:28:10.200000Z,2018-02-04T06:32:10.200000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",34.9812,29.5496,35
121939,2018-02-04T06:28:17.470000Z,2018-02-04T06:32:17.470000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",34.8682,29.5423,35
121940,2018-02-04T11:43:34.060000Z,2018-02-04T11:47:34.060000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.6517,33.4445,35
121941,2018-02-05T01:36:37.120000Z,2018-02-05T01:40:37.120000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.5248,31.5119,36
121942,2018-02-05T08:32:33.400000Z,2018-02-05T08:36:33.400000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",33.2328,28.8876,36
121943,2018-02-05T13:22:12.450000Z,2018-02-05T13:26:12.450000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",33.2719,29.0076,36
121944,2018-02-05T18:51:32.140000Z,2018-02-05T18:55:32.140000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",35.7227,33.2506,36
121945,2018-02-07T02:20:41.000000Z,2018-02-07T02:24:41.000000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",36.6957,32.4062,38
121946,2018-02-07T02:39:03.080000Z,2018-02-07T02:43:03.080000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",34.899,29.4559,38
121947,2018-02-07T04:02:05.070000Z,2018-02-07T04:06:05.070000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",36.6997,32.404,38
121948,2018-02-07T10:59:21.840000Z,2018-02-07T11:03:21.840000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",34.9784,29.548,38
121949,2018-02-08T01:14:04.480000Z,2018-02-08T01:18:04.480000Z,"ALMT,AMID,BLGI,BTOR,DSHN,ENGV,GEM,GLHS,GNNR,GOSH,HDNS,HNTI,HULT,IZRL,KDZV,KNHM,KSH0,LVBS,MGDL,MLDT,MSAM,NATI,OFRI,RMOT,RSPN,SHGL,SPR,TVR,ZRT",34.5358,34.2803,39
